E.Colli,Coliform,Arsen,Kromium,Kadmium ,Nitrit,Nitrat,Sianida,Selenium,Alumunium,Besi,Kesadahan,Klorida,Mangan,pH,Seng,Sulfat,Tembaga,Amonia,Chlor,BOD5,COD,Bau,Warna,Kekeruhan,Rasa ,Suhu,TDS,Potabilitas
0,18.7,0.0001,0.0001,0.0001,"0,01",1.5666,0.001,0.0001,0.0922,0.039,89.9381,13.6394,0.001,"7,65",0.0262,37,0.0023,"0,14","0,98","0,84","4,6106",Tidak Berbau,4,0.73,Tidak Berasa,22.5,"133,66",1
0,0,0,"0,037","0,002",0.067,2.66,0.002,0.0002,0.04,0.01,"328,536",21.5,0.1,7.63,0.06,46,0,0,0.77,"0,65","4,9815",Tidak Berbau,1,"0,58",Tidak Berasa,"25,3",54.9,1
0,0,0,"0,062","0,002",0.00922,4.87,0.005,0.0003,0.022,0,"329,472",20,0,7.54,0.70,16,0,0,1.66,"0,78","4,6194",Tidak Berbau,5,"0,48",Tidak Berasa,"25,0",64.2,1
0,0,0,"0,033","0,002",0.0087,6.64,0.002,0.0004,0,0.01,"180,180",7,0.1,6.94,0.28,0,0,0,1.6,"0,14","3,6462",Tidak Berbau,4,"0,59",Tidak Berasa,"25,3",51.4,1
0,0,0,"0,056","0,002",0.026,5.31,0.001,0.0005,0.053,0.04,"168,948",17.5,0.1,7.68,0.11,8,0.04,0.01,0.3,"0,95","2,6494",Tidak Berbau,2,"0,95",Tidak Berasa,"25,3",74.0,1
0,0,0,"0,052","0,002",0,3.1,0.001,0.0006,0.113,0.02,21.12,18,0.1,7.35,0.36,45,0.02,0.08,0.54,"1,97","1,6491",Tidak Berbau,1,"0,24",Tidak Berasa,"25,0",367,1
0,0,0,"0,074","0,002",0.14,3.99,0.001,0.0007,0.141,0.04,42.27,25,0.4,7.65,0.25,53,0.04,0.43,0.43,"1,85","4,9628",Tidak Berbau,4,"0,62",Tidak Berasa,"25,3",118,1
0,0,0,0,"0,002",0.003,2.7,0.002,0.0013,0.0006,0.0014,108,28.4,0.0009,7.92,0.0011,55.73,0,0.08,0.40,"1,33","3,6915",Tidak Berbau,0,0.69,Tidak Berasa,27.32,102.4,1
0,0,0.000295,0.001,0.001,0.128,12.7,0.001,"0,02",0.001,0.071,142.8,6.79,0.048,7.46,0.106,18.07,0.01,0.01,0.05,"1,23","2,0591",Tidak Berbau,0.3,0.001,Tidak Berasa,27.32,152.1,0
0,0,0.00,0.00,0,0.02,0.27,0.00,0,0.00,0.0038,40,3.0,0.06,8.38,0.0,1.2567,0.00,0.00,"0,42","1,98","4,0659",Tidak Berbau,9.0,5.0,Tidak Berasa,25,118,1
0,0,0.00,0.00,0,0.03,0.405,0.00,0,0.00,0.0043,30,5.0,0.06,8.01,0.1,5.2896,0.00,0.00,"0,26","1,78","4,8931",Tidak Berbau,8.0,2.0,Tidak Berasa,26,94,1
0,0,0.000523,"0,089","0,003",0.01,1.0,"0,011",0,0.03,0.10,21.12,11,0,6.9,1.0,32,0.06,0.02,"0,59","0,59","4,6952",Tidak Berbau,0,0.41,Tidak Berasa,30,44,1
0,0,"0,000963","0,047","0,003",0.2,1.6,"0,011",0,0.02,0.11,42.27,16,0,6.8,1.0,21.63,0.09,0.03,"0,59","0,78","4,1117",Tidak Berbau,0,0.11,Tidak Berasa,30,106,1
0,0,0.00,0.05,0.002,0.003,0.6,0.001,"0,02","0,063",0.36,62,174,0.54,7.91,0.201,20,"0,08","0,14","0,23","0,56","4,3695",Tidak Berbau,25,0,Tidak Berasa,28,340,0
0,8.8,0.00,0.02,0.002,0.00,0.7,"0,019",0,0.01,0.08,30,24,0.06,7.53,0.025,12,0.27,0.05,"0,29","0,69","4,3002",Tidak Berbau,0,0,Tidak Berasa,27,131,0
0,0,0.00,0.03,0.002,0.00,0.4,0.00,0,0.01,0.16,64,80,0.34,8.5,0.152,15,0.12,0.05,"0,95","1,89","3,3694",Tidak Berbau,0,0,Tidak Berasa,28,359,1
0,0,0.00,0.02,0.003,0.00,0.6,0.00,0,0.01,0.071,31,23,0.10,7.91,10,10,0.11,0.05,"0,47","1,78","3,9411",Tidak Berbau,0,0,Tidak Berasa,27,127,1
0,0,"0,000694","0,062","0,003",0.025,2.609,"0,026",0.0007,0.038,0.071,73.852,5.998,0.153,6.62,"0,203",2.523,"0,36","0,69","0,12","1,77","5,6945",Tidak Berbau,0,0,Tidak Berasa,27.8,81,1
0,0,0,"0,065","0,003","0,02",,0.004,0.0008,"0,056",0.1,73.853,25,0.020,7.16,0.01,15.59,"1,68","0,26",0,"1,69","5,2268",Tidak Berbau,1,1.72,Tidak Berasa,29.7,49.6,1
0,0,"0,000665","0,027","0,003",0.30,1.30,"0,061",0.0009,"0,012",0.05,171.4,1.30,0.3,8.25,"0,036",15.60,"1,91",0.35,"0,42","0,92","4,3369",Tidak Berbau,8.25,0.20,Tidak Berasa,25,132,1
0,0,"0,000887","0,023","0,003",0.01,0.5,"0,051",0.0010,"0,063",0.02,31,16.0,0.4,7.23,"0,022",36.2,"1,69","0,0457","0,26","0,99","2,9917",Tidak Berbau,1,1,Tidak Berasa,27.3,190,1
0,0,0.00,0.001,0.001,0.001,4.30,0,0,0,0.025,201.0,8.0,0.018,6.84,"0,097",2.0,0.037,"0,0636","0,59","1,36","2,3699",Tidak Berbau,3.0,0.5,Tidak Berasa,22.7,141.2,1
0,0,"0,000623",0.0005,0.0031,0.02,0.8965,0.001,0.0010,0.0182,0.0195,177,16,0.0248,7.42,0.0121,1,0.0172,"0,0232","0,59","1,25","1,6964",Tidak Berbau,3,0.197,Tidak Berasa,25,210,1
0,0,"0,000114","0,081",0.002,0.08,1.07,"0,098",0.0011,"0,032",0.010,230,18.7,0.020,6.94,"0,022",95.5,"0,36","0,0457","0,23","1,98","2,3944",Tidak Berbau,5,2.15,Tidak Berasa,"25,3",487,1
0,0,"0,000336","0,034",0.001,0.011,1.80,"0,022",0.0012,"0,037",0.010,253,18.7,0.020,7.03,"0,097",93.5,"1,68","0,0636","0,29","1,47","5,6198",Tidak Berbau,5,1.88,Tidak Berasa,"25,0",499,1
0,0,"0,000689","0,092",0.000,0.031,4.30,"0,033",0.0013,"0,099",0.010,162,23.5,0.020,6.91,"0,054",33.2,"1,91","0,0232","0,64","1,47","3,7444",Tidak Berbau,5,3.65,Tidak Berasa,"25,3",365,1
0,0,"0,000222","0,037",0.001,0.008,3.95,"0,087",0.0014,"0,056",0.010,172,25.4,0.020,6.89,"0,0964",32.9,"1,69","0,0694","0,94","1,22","2,3314",Tidak Berbau,5,2.64,Tidak Berasa,"25,6",381,1
0,0,"0,000954","0,007",0.002,"0,0021","74,295","0,003","0,02","0,1","0,0036","204,7","14,166","0,049","7,00","0,0435","18,2250","1,36","0,0229",0.85,"1,36","1,8888",Tidak Berbau,1,"0,474",Tidak Berasa,"24,0",227,0
0,0,"0,000993","0,04","0,002","0,0266","21,8035","0,04","0,0014","0,1","0,0035","168,36","31,012","0,0482","7,00","0,0346","10,0471","1,99","0,0457",1.00,"1,56","2,9133",Tidak Berbau,1,"0,54",Tidak Berasa,"24,0",249,1
0,17,"0,000587","0,02","0,002","0,0187","60,0325","0,02","0,02","0,1","0,0033","263,12","27,374","0,0434","7,00","0,072","24,8774","0,89","0,0636",0.34,"1,32","4,7885",Tidak Berbau,1,"0,417",Tidak Berasa,"26,0",356,0
0,0,"0,000471","0,03","0,002","0,0129","13,781","0,01",0.0010,"0,092","0,0029","40,48","12,25","0,0321","7,09","0,033","0,0129","0,36","0,0232","0,369","1,23","4,3389",Tidak Berbau,2,"0,424",Tidak Berasa,"27,6",119,1
0,0,"0,000122","0,001","0,002","0,003","23,5","0,029",0.0011,"0,065","0,043",345,"14,1","0,277","7,43","1,69","12,5","1,68","0,0239","0,56","1,95","5,3994",Tidak Berbau,5,"0,34",Tidak Berasa,"25,3",473,1
0,0,"0,000232","0,071","0,002","0,017","11,07","0,031",0.0012,"0,032","0,020",250,"22,8","0,016","7,44","2,98",21,"1,91",1,"0,56","1,87","1,6951",Tidak Berbau,5,"0,18",Tidak Berasa,"25,3",377,1
0,0,"0,000996","0,02","0,002","0,018","18,2","0,072",0.0013,"0,037","0,245",185,"23,3","0,254","6,55","1,23","15,2","1,69","1,2","0,56","1,78","1,2295",Tidak Berbau,5,"0,12",Tidak Berasa,"25,0",294,1
0,0,"0,000223","0,053","0,002","0,654","3,95","0,011",0.0014,"0,099","0,001",200,"21,4","0,141","6,91","1,84","14,7","0,61","1,3","0,56","1,32","4,3168",Tidak Berbau,5,"0,72",Tidak Berasa,"25,3",318,1
0,0,"0,000881","0,061","0,002","0,002","27,5","0,081",0.0015,"0,056","0,0031",246,"22,9","0,017","7,01","0,036","25,0","0,36","0,2197","0,56","1,38","2,3397",Tidak Berbau,5,"0,13",Tidak Berasa,"25,0",369,1
0,0,"0,000746","0,81","0,002","0,230","21,1","0,52",0.0016,"0,012","0,017",240,"23,3","0,017","7,87","0,022","9,9","1,89","0,0528","0,56","1,23","3,2264",Tidak Berbau,5,"0,32",Tidak Berasa,"25,0",346,1
0,0,"0,000788","0,92","0,002","0,004","18,0","0,19",0.0017,"0,063","0,018",208,"17,5","0,247","7,02","0,097","26,8","1,23","0,0636","0,56","0,99","5,2247",Tidak Berbau,5,"0,32",Tidak Berasa,"25,2",312,1
0,0,"0,000295","0,32","0,002","0,001","1,50","0,067",0.0018,"0,089","0,019",200,"18,0","0,012","7,16","0,054","27,1","0,94",1,"0,56","0,81","3,1120",Tidak Berbau,5,"0,23",Tidak Berasa,"25,2",319,1
0,"7,8","0,000778","0,001","0,002","0,438","10,7085","0,06","0,02","0,01","0,1","213,724","87,471","0,2751","7,6","0,0964","33,0475",1,"0,0203","0,69","1,95","5,2399",Tidak Berbau,4,"1,05",Tidak Berasa,"30,5",416,0
0,0,"0,000552","0,01","0,002","0,0048","10,0772","0,03",0.0009,"0,09","0,015","203,728","85,514","0,2","7,65",2,"31,5095","1,99",1,"0,47","0,87","1,8775",Tidak Berbau,2,"0,451",Tidak Berasa,"30,3",389,1
0,0,"0,000138","0,01","0,002","1,25","1,3913","0,065","0,02","0,053","0,02","403,648","39,724","0,0069","7,32","0,099","29,2298","0,89","0,5156","0,92","0,89","3,8852",Tidak Berbau,5,"5,21",Tidak Berasa,"29,3",511,0
0,0,"0,000239","0,049","0,003","0,0556","5,6769","0,084","0,0008","0,094","0,022","383,656","37,376","0,0067","7,62","0,029","27,3965","1,65","0,99","0,58","0,74","4,0216",Tidak Berbau,2,"0,444",Tidak Berasa,"30,6",491,1
46,46,"0,000336","0,02","0,001","1,79","9,5256","0,022","0,02","0,011","0,036","133,28","13,502","0,3","7,81","1,83","16,3905","1,23","0,0154","0,69","0,81","4,9655",Tidak Berbau,3,"0,53",Tidak Berasa,"28,3",209,0
0,0,"0,000697","0,088","0,003","2,57","8,6206","0,05","0,0003","0,06","0,075","93,296","13,111","0,0022","8,04","2,67","16,3724","0,37","0,8","0,42","0,63","4,0023",Tidak Berbau,2,"0,401",Tidak Berasa,"30,3",191,1
0,"4,5","0,000761","0,001","0,001","0,0093","0,8587","0,02","0,02","0,095","0,082","328,536","37,646","1,1074","7,31","1,55","20,1195","1,42","0,0328","0,26","0,62","2,2219",Tidak Berbau,2,"0,66",Tidak Berasa,"29,0",395,0
0,0,"0,000941","0,037","0,003","0,0094","1,0037","0,01","0,0001","0,081","0,098","329,472","37,055","0,0256","7,64","1,38","10,8744","0,66","0,0594","0,59","0,95","1,1172",Tidak Berbau,1,"0,29",Tidak Berasa,"26,0",402,1
33,33,"0,000659","0,074","0,001","0,0143","0,5631","0,031","0,02","0,04","0,027","180,180","32,128","0,8971","7,75","2,34","13,0986","0,48","0,2197","0,59","0,92","4,3365",Tidak Berbau,2,"0,95",Tidak Berasa,"29,0",282,0
0,0,"0,000746","0,031","0,003","0,0021","1,7469","0,023","0,00045","0,067","0,059","168,948","31,536","0,0955","8,05","2,97","12,3162","1,22","0,0519","0,23","0,76","4,7785",Tidak Berbau,1,"0,24",Tidak Berasa,"0,29",274,1
0,0,"0,000394","0,085","0,002","0,2","2,0","0,092","0,0004","0,066","0,10",55,"32,156","0,0996","6,73","2,95",10,"1,35","0,066","0,29","0,95","4,1152",Tidak Berbau,1,"0,62",Tidak Berasa,"26,0",130,1
0,0,"0,0005","0,0008","0,0006","0,0003","0,13","0,092","0,02","0,066","0,0003",55,"2,11","0,0953","7,41","0,0005","11,064","0,032","0,006","0,9413","0,41","2,1652",Tidak Berbau,3,"0,62",Tidak Berasa,"26,1",335,0
0,0,"0,0003","0,0002","0,0007","0,0003","0,0007","0,092","0,05","0,066","0,0087",55,"2,81","0,0334","6,88","0,0009","12,476","0,033","0,006","0,0226","0,52","4,6422",Tidak Berbau,3,"0,62",Tidak Berasa,"26,2",280,0
0,0,"0,0002","0,0004","0,0001","0,0001","0,0008","0,092","0,04","0,066","0,0064",55,"0,095","0,0223","6,19","0,0003","31,222","0,034",13,"0,8699","1,86","5,15",Tidak Berbau,3,"0,62",Tidak Berasa,"26,3",283,0
0,0,"0,0002","0,0004","0,0001","0,43","1,5","0,092","0,67","0,066","1,18",36,"9,5","1,09","6,58","0,49",47,"0,034",13,"0,8699","1,86","5,15",Tidak Berbau,"68,5",63,Tidak Berasa,"25,6",126,0
130,1700,"0,000623","0,005","0,001","0,004","1,619","0,002","0,000432","0,07","0,5","114,99","14,1","0,7","7,86","0,038","25,6","0,445","0,093","0,045",3,"21,4",Tidak Berbau,242,"12,8",Tidak Berasa,"25,7",138,0
123,3300,"0,000114","0,019","0,001","0,04","1,657","0,002","0,000432","0,09","0,5","102,88","14,3","0,7","7,5","0,063","25,3","0,446","0,183","0,045",3,"19,8",Tidak Berbau,196,"6,4",Tidak Berasa,"25,5",133,0
161,2800,"0,000336","0,002","0,001","0,011","2,235","0,001","0,000432","0,1","0,5","135,16","46,1","0,7","7,87","0,041","26,8","0,447","0,178",25,3,"11,2",Tidak Berbau,168,"8,4",Tidak Berasa,"25,8",148,0
102,630,"0,000689","0,005","0,001","0,13","1,977","0,001","0,000432","0,05","0,5","135,16","19,9","0,7","7,93","0,032","28,3","0,448","0,109",25,3,"16,3",Tidak Berbau,198,"7,4",Tidak Berasa,26,"148,5",0
139,1300,"0,000222","0,019","0,001","0,016","0,081","0,001","0,000432","0,1","0,5","121,04","16,4","0,7","7,09","0,043","31,8","0,449","2,770",25,3,"12,8",Tidak Berbau,"123,5","5,3",Tidak Berasa,"25,7",141,0
181,4300,"0,000954","0,002","0,001","0,004","0,074","0,001","0,000432","0,0922","0,5","149,03","11,4","0,139","7,46","0,024","22,7","0,450","3,957",25,3,"18,7",Tidak Berbau,88,"13,2",Tidak Berasa,"27,9",145,0
110,3500,"0,000993","0,005","0,0076","0,017","1,335","0,001","0,000432","0,04","0,12","120,83","11,7","0,043","7,63","0,046","35,2","0,451","0,426",25,3,"19,4",Tidak Berbau,115,2,Tidak Berasa,"27,6",152,0
36,1500,"0,000587","0,019","0,0076","0,036","2,005","0,001","0,000432","0,05","0,126","96,67","12,3","0,112","7,55","0,012","35,3","0,452","0,307","0,1",3,"13,2",Tidak Berbau,61,"1,8",Tidak Berasa,"27,1",172,0
127,1300,"0,000471","0,002","0,0076","0,002","1,786","0,001","0,000432","0,06","0,134","171,18","14,9","0,09","7,99","0,049","29,3","0,453","0,11","0,1",1,"5,7",Tidak Berbau,97,"1,2",Tidak Berasa,"26,6","171,5",0
128,1700,"0,000122","0,005","0,0076","0,002","1,694","0,001","0,000432","0,009","0,3","152,05","14,6","0,116","7,86","0,035","29,6","0,454","0,131","0,1",3,"11,6",Tidak Berbau,51,"14,6",Tidak Berasa,"29,2",146,0
129,1700,"0,000232","0,019","0,0076","0,098","1,718","0,092","0,000432","0,01986","0,3","182,48","14,5","0,09","7,75","0,095","21,2","0,455","0,061","0,1",3,"10,8",Tidak Berbau,25,"14,4",Tidak Berasa,"30,3",160,0
21,1400,"0,000996","0,002","0,0076","0,107","1,049","0,092","0,000432","0,005","0,3","129,76","16,6","0,09","7,71","0,184","23,3",0.02,"0,245","0,08",3,"9,6",Tidak Berbau,11,"11,4",Tidak Berasa,"32,1",154,0
74,630,"0,000223","0,005","0,0076","0,134","1,977","0,092","0,000432","0,006","0,3","117,6","17,6","0,09","7,93","0,067","25,8",0.02,"0,109","0,08",3,"16,3",Tidak Berbau,24,"7,8",Tidak Berasa,"32,4",169,0
26,3500,"0,000881","0,019","0,0076","0,017","1,335","0,092","0,02","0,1","0,3","139,9","21,6","0,09","7,63","0,084","27,9",0.02,"0,425","0,06",3,"19,4",Tidak Berbau,16,11,Tidak Berasa,31,126,0
99,1700,"0,000746","0,002","0,0076","0,004","1,146","0,002","0,05","0,07","0,3","89,21","19,3","0,09","8,43","0,081","32,2",0.02,"0,101","0,06",3,"10,4",Tidak Berbau,97,"14,4",Tidak Berasa,"30,1",138,0
142,4300,"0,000788","0,005","0,0006","0,004","1,099","0,002","0,04","0,09","0,3","162,2",13,"0,09","8,33","0,086","32,2",0.02,"0,082",422,3,"10,8",Tidak Berbau,51,"11,4",Tidak Berasa,"29,8",133,0
114,1400,"0,000295","0,019","0,0007","0,002","1,857","0,001","0,67","0,1","0,5","109,49","14,725","0,09","7,96","0,035","32,2",0.02,"0,469",422,3,"15,1",Tidak Berbau,25,"7,8",Tidak Berasa,"32,4",148,0
8,4300,"0,000778","0,002","0,0001","0,058","1,751","0,001","0,000432","0,05","0,5","119,62","14,41102941","0,09","7,92","0,084","32,2",0.02,"0,509",422,3,"17,1",Tidak Berbau,11,11,Tidak Berasa,31,"148,5",0
91,1100,"0,0006688039216","0,005","0,0001","0,003","2,292","0,001","0,000432","0,07","0,12","164,23","14,09705882","0,09","7,24","0,081","32,2","0,456","0,666",422,2,"7,3",Tidak Berbau,24,"7,7",Tidak Berasa,"30,1",141,0
199,1500,"0,0006804324045","0,019","0,001","0,003","2,436","0,001","0,1684896","0,09","0,126","139,8629825","13,78308824","0,09","7,52","0,086","31,32631579","0,457","0,116",422,3,"14,3",Tidak Berbau,16,"6,32",Tidak Berasa,"29,8",145,0
94,"1,898","0,000881","0,002","0,025",25,5,"0,012","0,0013","0,07","0,134",493,"114,65",0,"7,75","0,035","61,0919",0,0,422,"3,49",65,Tidak Berbau,"8,6","0,8512",Tidak Berasa,"27,3",0,0
80,0,"0,000881","0,005","0,026",6,4,"0,017","0,0013","0,09","0,3",493,"114,65","0,41","7,71","0,015","52,1281","0,053",0,"0,05","3,66",58,Tidak Berbau,"7,2","0,8512",Tidak Berasa,"28,2",0,0
185,"1,898","0,000881",0,0,43,3,"0,012","0,0013","0,1","0,3",453,"114,65",0,"7,93","0,015","46,084",0,"0,62",0,"3,18","30,7",Tidak Berbau,"9,7","0,8512",Tidak Berasa,"28,2",0,0
130,0,"0,000881",0,0,47,4,"0,017","0,0013","0,05","0,3",543,"114,65",0,"7,63","0,015","28,417",0,0,"0,15","3,26",77,Tidak Berbau,10,"0,8512",Tidak Berasa,"30,2",0,0
169,"1,898","0,000881",0,0,9,"3,54","0,012","0,0013","0,1","0,3","143,14","114,65",0,"8,43","0,015","52,0991","0,167","0,61","0,15","3,98","38,4",Tidak Berbau,"50,939","0,8512",Tidak Berasa,"29,2",0,0
240000,"1,898","0,000114",0,0,34,4,"0,017","0,0030","0,0922","0,3","135,18","28,49",0,"8,33","0,015","17,6701","0,035",0,0,"3,17",81,Tidak Berbau,24,"0,8512",Tidak Berasa,"26,3",0,0
430000000,"1,898","0,000114",0,0,21,3,"0,012","0,0030","0,04","0,3","145,12","28,49",0,"7,96","0,015","24,971",0,"0,62","0,15","3,94",0,Tidak Berbau,"9,3","0,8512",Tidak Berasa,"27,3",0,0
250000,"1,898","0,000114",0,0,23,2,"0,017","0,0030","0,05","0,3","126,02","28,49",0,"7,92","0,015","28,5233",0,"0,62","0,15","3,95",0,Tidak Berbau,"13,7","0,8512",Tidak Berasa,"27,3",0,0
230000,"1,898","0,000114",0,0,14,"2,07","0,012","0,0030","0,06","0,3","196,25","28,49",0,"7,24","0,015","21,9162",0,0,"0,15","3,15",0,Tidak Berbau,12,"0,8512",Tidak Berasa,"28,2",0,0
230000,"1,898","0,000114","0,061",0,39,2,"0,017","0,0031","0,009","0,3","118,32",-32,0,"7,52","0,015","29,895",0,0,"0,15","3,66",0,Tidak Berbau,10,"0,8512",Tidak Berasa,"28,2",0,0
110000000,0,"0,000881",0,0,9,5,"0,012","0,0013","0,07","0,601","109,49","7,1",0,"6,16",0.02,0,"0,074",0,"0,15","62,1","307,2",Tidak Berbau,"8,6","12,8",Tidak Berasa,"27,3",126,0
8100000000,0,"0,000881",0,0,30,4,"0,017","0,0013","0,09","0,620","121,65","7,8",0,"6,13",0.01,0,"0,065","0,55","0,1",0,58,Tidak Berbau,"7,2","6,4",Tidak Berasa,"28,2",138,0
82000,0,"0,000881",0,0,8,3,"0,012","0,0013","0,1","1,764","139,9","9,1",0,"6,18",0.01,0,"0,073",0,"0,05",0,58,Tidak Berbau,"9,7","8,4",Tidak Berasa,"28,2",133,0
120000,0,"0,000881",0,"0,023",10,4,"0,017","0,0013","0,05","4,044","118,72","10,1",0,"6,2",0.03,0,"0,085","0,6","0,15",0,46,Tidak Berbau,10,"7,4",Tidak Berasa,"30,2",148,0
210000,0,"0,000881",0,0,40,"3,54","0,012","0,0013","0,1","2,816",106,"10,8",0,"6,15",0.03,0,"0,073","0,56","0,15","2,1","38,4",Tidak Berbau,"50,939","5,3",Tidak Berasa,"29,2","148,5",0
240000,0,"0,000114",0,"0,018",49,4,"0,017","0,0030","0,0922","1,26","122,96","9,8",0,"6,2",0.03,0,"0,044",0,"0,15",82,"307,2",Tidak Berbau,24,"13,2",Tidak Berasa,"26,3",141,0
430000000,0,"0,000114",0,"0,015",30,3,"0,012","0,0030","0,04","1,236","122,96","11,3",0,"6,3",0.02,0,"0,029","0,55","0,15","62,2",288,Tidak Berbau,"9,3",2,Tidak Berasa,"27,3",145,0
250000,0,"0,000114",0,0,28,2,"0,017","0,0030","0,05",0,"103,88","10,8",0,"6,3",0.03,0,0,0,"0,15",0,"211,2",Tidak Berbau,"13,7","1,8",Tidak Berasa,"27,3",152,0
230000,"1,898","0,000114",0,0,44,"2,07","0,012","0,0030","0,06",0,"114,99",28,0,"6,66",0.03,0,0,"0,7","0,15",0,"57,6",Tidak Berbau,12,"1,2",Tidak Berasa,"28,2",172,0
230000,0,"0,000114",0,0,38,2,"0,017","0,0031","0,009","0,432","102,88","11,3",0,"6,5",0.02,0,0,"0,76","0,15",38,"76,8",Tidak Berbau,10,"14,6",Tidak Berasa,"28,2","171,5",0
110000000,0,"0,000881",0,0,34,4,"0,017","0,0013","0,09","3,024","135,16","10,1",0,"6,3",0.01,0,"0,096",0,"0,15","3,39","19,2",Tidak Berbau,10,"14,4",Tidak Berasa,"28,2",0,0
8100000000,"1,898","0,000881",0,0,15,3,"0,012","0,0013","0,1","1,958","121,65","11,1",0,"6,4",0.01,0,"0,082",0,"0,15","2,91",38,Tidak Berbau,"8,6","11,4",Tidak Berasa,"27,3",0,0
82000,"1,898","0,000881",0,0,39,4,"0,017","0,0013","0,05","1,958","139,9","10,1",0,"6,18",0.01,0,0,0,"0,15","2,91",38,Tidak Berbau,"7,2","7,8",Tidak Berasa,"28,2",154,0
120000,"1,898","0,000881",0,0,32,"3,54","0,012","0,0013","0,1","1,958","118,72","10,8",0,"6,2",0.03,0,"0,082",0,"0,15","2,91",38,Tidak Berbau,"9,7","7,4",Tidak Berasa,"28,2",169,0
210000,"1,898","0,000881",0,"0,017",31,4,"0,017","0,0030","0,0922",0,106,"9,8",0,"6,15",0.03,500,"0,1","0,63","0,15","2,87","115,2",Tidak Berbau,10,"5,3",Tidak Berasa,"30,2","148,5",0
240000,"1,898","0,000114",0,"1,03",31,3,"0,012","0,0030","0,04",0,"122,96","11,3","2,046","6,2",0.03,0,0,"0,61","0,15","2,45","76,8",Tidak Berbau,"50,939","13,2",Tidak Berasa,"29,2",141,0
430000000,188,"0,000114",0,"0,016",20,2,"0,017","0,0030","0,05",0,"122,96","10,8",0,"6,3",0.02,0,0,0,"0,15","2,93","76,8",Tidak Berbau,24,2,Tidak Berasa,"26,3",145,0
250000,"1,898","0,000114",0,0,49,"2,07","0,012","0,0030","0,06","1,878","103,88",28,"0,142","6,3",0.03,0,"0,1",0,"0,15","9,32","76,8",Tidak Berbau,"9,3","1,8",Tidak Berasa,"27,3",152,0
230000,"1,898","0,000114",0,"0,015",12,2,"0,017","0,0031","0,009","1,676","114,99","11,3",0,"6,66",0.03,0,"0,108",0,0,"9,62",38,Tidak Berbau,"13,7","1,2",Tidak Berasa,"27,3",172,0
230000,"1,898","0,000114",0,0,37,2,"0,012","0,0013","0,09","1,961","102,88","10,1",0,"6,5",0.02,0,"0,087",0,"0,15","6,36","57,6",Tidak Berbau,12,"14,6",Tidak Berasa,"28,2","171,5",0
