BOD,COD,FecalColiform,IP,Class
2.23,37.21,2091.0,2.3,2
2.22,2.51,1668.0,2.1,2
2.05,19.25,1229.0,2.2,2
2.28,16.68,1852.0,2.18,2
2.46,24.38,2812.0,2.3,2
2.06,12.19,1616.0,2.3,2
2.68,19.25,1782.0,2.1,2
2.95,42.35,2012.0,2.2,2
3.99,37.21,1968.0,2.18,2
3.82,19.25,2178.0,2.3,2
2.23,3.75,1145.0,2.22,2
2.41,8.75,1467.0,2.06,2
2.99,6.25,1198.0,2.3,2
3.11,3.75,1918.0,2.04,2
3.28,13.75,959.0,2.22,2
2.17,40.42,2489.0,2.22,2
2.25,35.93,2400.0,2.06,2
2.06,61.59,2254.0,2.39,2
2.02,38.49,2595.0,2.04,2
2.13,46.19,2700.0,2.23,2
2.34,30.22,1423.0,2.15,2
2.06,98.17,2064.0,3.04,2
3.69,37.21,1112.0,2.3,2
2.2,29.51,2400.0,2.24,2
2.8,12.83,1459.0,2.03,2
2.25,46.84,1012.0,2.15,2
2.0,61.59,1274.0,3.04,2
2.05,24.38,2282.0,2.31,2
2.35,21.82,1396.0,2.24,2
2.4,15.39,985.0,2.03,2
2.16,34.65,1483.0,2.2,2
2.13,38.49,2254.0,2.3,2
3.66,92.39,1904.0,3.0,2
2.09,53.89,2012.0,2.6,2
2.77,3.85,159.0,2.17,2
2.05,18.61,1430.0,2.24,2
2.56,23.09,2310.0,2.32,2
2.37,14.11,1169.0,3.0,2
2.44,21.82,2247.0,2.6,2
2.29,79.56,1034.0,2.17,2
2.87,25.0,2436.0,3.13,2
2.9,13.75,2445.0,3.23,2
2.05,26.25,2436.0,3.18,2
2.87,26.25,2458.0,3.12,2
2.4,35.0,2402.0,3.23,2
3.06,13.99,2053.0,3.13,2
2.21,21.82,2141.0,3.23,2
2.13,23.09,2235.0,3.18,2
2.09,28.23,2427.0,3.12,2
2.35,32.08,2589.0,3.23,2
2.9,13.47,1636.0,2.14,2
2.44,29.53,1957.0,2.13,2
2.13,6.42,2515.0,2.15,2
2.63,0.14,2392.0,2.23,2
2.01,62.87,2445.0,2.72,2
2.25,59.67,2011.0,2.14,2
2.0,53.89,2318.0,2.13,2
2.05,32.08,2504.0,2.15,2
2.35,17.97,2504.0,2.2,2
2.4,41.06,2667.0,2.72,2
2.2,22.5,2427.0,3.7,2
2.31,12.5,2419.0,3.75,2
3.41,8.75,2436.0,5.37,2
3.27,5.0,2428.0,3.7,2
2.67,5.0,2427.0,3.75,2
2.25,75.07,2310.0,3.76,2
2.36,34.65,2495.0,3.75,2
2.4,15.39,2427.0,5.37,2
2.33,16.68,2584.0,3.78,2
2.48,32.08,2198.0,3.75,2
2.38,3.2,1780.0,2.73,2
2.08,7.69,1904.0,2.23,2
2.01,24.38,2035.0,2.46,2
2.3,3.2,2400.0,2.32,2
2.45,20.53,2700.0,2.38,2
2.33,57.1,1904.0,2.73,2
2.44,14.12,1118.0,2.23,2
2.48,20.53,1203.0,2.46,2
2.36,33.36,1552.0,2.34,2
4.96,89.83,1892.0,2.38,2
2.94,21.25,2400.0,2.75,2
2.48,15.0,2411.0,2.55,2
2.4,25.0,2402.0,2.97,2
2.79,26.25,2427.0,2.61,2
2.83,12.5,2436.0,2.67,2
2.75,20.53,2224.0,2.75,2
2.9,17.96,2402.0,2.55,2
2.48,43.63,2318.0,2.97,2
2.63,23.09,2894.0,2.61,2
2.4,10.27,2513.0,2.67,2
2.03,18.75,2402.0,2.84,2
2.11,13.75,2411.0,2.66,2
2.24,8.75,2427.0,2.63,2
2.3,5.0,2400.0,4.3,2
2.28,17.5,2411.0,2.6,2
2.44,3.22,1904.0,2.84,2
2.71,3.22,2035.0,2.66,2
2.55,3.22,2224.0,2.63,2
2.13,3.22,2400.0,4.3,2
2.32,3.22,2595.0,2.61,2
2.17,35.93,4611.0,3.76,2
2.33,10.3,528.0,3.76,2
2.44,12.83,318.0,3.75,2
2.64,5.13,683.0,3.76,2
2.35,5.13,331.0,3.77,2
2.05,25.67,14136.0,3.78,2
2.98,36.57,3255.0,3.76,2
2.4,62.88,1674.0,3.75,2
3.02,28.23,1682.0,3.74,2
2.9,57.75,1430.0,3.73,2
2.52,43.63,1110.0,3.72,2
2.05,44.91,2075.0,3.78,2
24.822,69.29,24196.0,3.1,2
20.168,47.0,869.0,2.5,2
2.327,20.53,2595.0,2.02,2
20.943,21.82,332.0,2.42,2
31.415,43.63,4106.0,2.84,2
2.17,25.02,24196.0,3.1,2
1.51,80.84,663.0,2.5,2
1.98,89.83,2283.0,2.0,2
2.02,20.53,795.0,2.4,2
2.06,59.03,328.0,2.84,2
4.344510673832875,11.440282156016583,647901.0847656752,5.186638152107995,3
3.006207538304367,30.874007454616137,552612.7378550196,5.2553301647178925,3
8.873087580733323,48.28486228295877,228684.92314980138,6.310959098958183,3
6.919398055303395,27.12348954941642,568666.4241451967,6.055983379630625,3
5.242629561441703,26.604202693644318,209952.46984742052,6.110049789045476,3
1.5523087332002217,64.42320639844371,733740.6192387812,5.411174163654323,3
7.260801036025475,32.66858932425464,763805.1280329546,6.149126280640874,3
2.324421093492889,53.235556071926666,788904.9282130401,6.97507300073616,3
3.562703035348814,44.85799032211747,691797.2236700472,6.445422285119623,3
8.211789192368201,62.763790010859246,505980.64857524785,5.080555952972901,3
6.845533141868077,49.30394942851694,36942.19064242485,7.683176149828301,3
5.9640736037361926,26.940694514285127,734152.5435431892,6.04593890737263,3
3.7045370353434732,33.19116570693452,834468.39112901,6.255368975515353,3
2.2904244222828685,25.1449435144965,675049.800970376,6.166508426217594,3
4.434815723943352,58.509698616523444,585738.6678835426,7.1388075144666,3
1.7226465237761728,12.938595594055576,573646.2835969408,5.378675046488995,3
1.3404087486469833,43.16349430039751,408477.73945363885,6.824254617403289,3
4.626322179038939,71.41066494565653,327605.392089583,7.722735183614654,3
1.857434646014955,54.86218149758898,182722.01823652268,5.244839875121996,3
7.6663936959002115,70.43760097099857,163161.9866427808,6.423895172056902,3
6.301651251908456,33.65460897617568,696149.8511535461,6.576256577144739,3
5.536865191000913,48.02682099433406,68931.3563388792,7.448579874732678,3
5.739897685182459,63.13080466229411,201041.09812304727,5.089231062679795,3
2.2982076599408146,8.983700792618484,188383.07824170258,5.236024844097801,3
4.23373479911189,60.79446098953392,485592.6073965164,6.53692136204209,3
5.041621885891356,25.830788275643073,669243.2479258907,5.095893382561915,3
4.884805667409744,26.198442615135715,37359.32128417367,7.8419645537651155,3
3.6556045452054846,44.82153091859524,166978.8593957923,5.839776109051735,3
8.827630696063562,46.710206094526455,60970.11997233232,7.704533202678648,3
4.888444494568116,56.19966774020452,577167.7312829676,6.017156399209769,3
4.549847543936018,41.491918278201005,756759.4742040646,7.758705391150672,3
5.0546469760015835,23.019812908763043,32375.99528091441,5.870532677021979,3
2.632291705469469,56.52002810634194,304919.19391061773,7.367618523189135,3
2.1639723669705835,37.60543286680245,658014.9133304782,5.983035477628876,3
6.717126661659256,33.68475306192385,74117.49415453775,7.425473489686455,3
2.645142190118663,74.53141461875241,518974.13119683845,5.2132123072412915,3
7.4979161529497445,67.2122335156354,370351.374264491,5.877108443342227,3
3.04296717797439,27.02563740886447,689583.452465566,5.94497929778079,3
8.525272154637822,27.22204322763574,532684.1279770582,5.8615180917369445,3
6.162106658836564,49.604069631475696,131646.98168536928,6.609244182392825,3
5.503478259709109,69.82833487641929,623035.7050308362,5.846431962843958,3
8.324800446226797,68.4392307488292,311659.6924880045,6.839362846293708,3
4.976163583604206,3.358939138198941,32218.405879401605,5.561894805458692,3
1.2869554357367226,47.003074432538945,210423.84501417953,5.256585552571742,3
8.249718677119724,38.144800285117206,397587.7596254507,5.198809216355386,3
7.930820074000414,41.20477072188692,722338.2188646093,7.499181071779502,3
3.497382894614454,76.98972384327352,648644.4988150966,6.96003525429241,3
6.00560583438821,73.01003717436137,725686.4229762527,6.862545700168878,3
8.414283662918098,52.276812625389,224768.22850878185,7.503633692028278,3
8.331441629665418,9.913627779488154,377737.28370751336,6.093917919837942,3
3.8355667876322284,29.34057729882373,413539.50438783795,7.28035661054219,3
5.676478447149258,75.1880346197888,467896.79344940535,5.486802980623104,3
7.743692665112981,33.982825405134555,103779.65270655522,6.184186537603447,3
4.533146184638029,42.935152368417576,378932.74900626467,5.644283599706308,3
5.938393349808937,8.245689442244078,22519.220065320813,7.838159401832856,3
7.7916908766790405,12.368388218648686,531453.7346510355,6.778197127949007,3
2.2706962197670366,63.29811492758365,579478.2706679618,6.361746120142005,3
3.012216574137532,18.608109997681577,49059.20262002086,6.229140604957678,3
1.804288880759185,17.814103616414428,2957.0353073907204,7.554255875252836,3
6.354127045707971,76.21112144252703,433381.46070061694,6.390632000937739,3
8.634667998588668,25.549142972862448,462224.36523648794,5.361173969103537,3
7.676486312503775,7.2698113083614935,417450.6480715787,6.738326157348668,3
1.3895815284573403,40.917390754052064,310752.4920487422,6.774542055292632,3
3.2840404343817147,28.349702482280502,463204.80693131394,6.078299010325391,3
2.1705766506537456,11.961929147782199,587672.5608198314,5.937533951455082,3
4.427813133284756,39.495503784346624,748207.4358600887,5.5055639175231805,3
2.173721717310764,27.50779014527471,173271.8888162774,5.3019925289394445,3
3.2000818192028095,7.4522522027082285,630584.1804793997,5.664794479086481,3
7.332870578113195,11.019523677682512,2562.410105722075,6.758476441468652,3
6.96241382796325,31.691322816796834,553510.3201927536,5.656950985871285,3
1.8093915658495392,70.90601248742398,330303.57143512525,5.662686093577408,3
2.2293337656353605,41.70632740921753,76104.34477268682,5.724993785777153,3
4.190208661547935,65.6036402731623,68825.93810213442,7.743580401101867,3
6.687485323041655,46.13917776032908,748397.7362280769,7.016239560222219,3
8.670860699237089,9.718978886710323,333726.59512175457,6.957842395100711,3
8.607390233965138,31.13576674527962,281312.3545082145,7.269603649412835,3
6.438765555966191,40.46748228595348,790027.3278712726,7.113171830617642,3
4.292341910436617,65.10692027335382,754538.6992897324,6.5860865113007625,3
2.844122684528979,58.38419619514724,258617.868237005,5.788411814503396,3
5.234127112715555,31.748576828320914,316011.2979546979,6.293352848119987,3
6.046190797671767,54.131221671399516,717022.2283587779,5.257749050623209,3
3.4994512880555275,39.797789645133705,743631.1647829468,6.524011021578088,3
7.498130679689505,54.80018453873649,326752.42653497576,7.62070892677981,3
2.5811353473582974,27.688998046073085,463268.5539247002,6.282643053354171,3
4.597985292085886,59.552913347674,59984.02298061242,5.099957811718517,3
1.9862296864923112,41.26538288696642,778980.1166279814,6.021171610478472,3
5.434937169678323,63.969952447338486,186786.29532343347,7.84453445771547,3
4.1255790361727005,12.817145084086333,655353.728132538,5.76778521678863,3
6.2659518918933195,55.03271131471006,625461.4679729469,7.408362450861062,3
3.9664185033491366,31.407555785109462,258212.385440533,5.8571451230019145,3
2.3206959448892293,21.99469116921173,636481.1740332838,7.361376619011967,3
2.3162883162515486,53.05013874505239,215499.41508207383,6.725495256286786,3
1.801789319841623,71.76704082708491,681161.2768614512,6.563482663335111,3
8.67379559864126,61.802158561638855,828557.2150137307,7.528062514186447,3
4.94059227589718,31.48337224088724,259099.67083876993,7.400700645889948,3
8.627357011118173,75.45160507648139,472679.03495532117,7.613667750425631,3
2.7200654885930193,50.91631449296967,603952.4305023005,7.704260658081966,3
6.0715219929936435,15.605289511886438,65409.28221129977,7.655357014858394,3
1.1845007897147595,10.045840756136966,10602.719891095065,6.369220423857934,3
3.458382736668056,14.515956713289805,620540.6945093434,7.019095908441022,3
7.365722986963377,34.787383291448776,770680.7344520466,6.489247215378859,3
2.8315528307131888,66.34173081962679,698445.5016391394,6.481661274896798,3
8.30223966849665,65.32574497364699,597606.245528897,7.4841897667406005,3
4.263361450573214,70.17109403959367,510107.1587717872,5.199729799608404,3
4.689445373589653,50.65213098946988,207709.31336194166,7.760966888237448,3
2.2850373885061197,47.3898970076744,637074.1990213088,7.881420705241659,3
1.5958166532969902,8.78477378075861,793344.3231776438,6.047198460245604,3
7.58667845136916,75.65091305095272,186163.60093004725,7.062281907469011,3
4.675501043126032,75.49294663760871,757423.7174413194,7.593387931265314,3
1.0892913724826727,18.17867872737226,482020.43482702173,5.4922518247746375,3
1.4929211893365872,30.449837924580432,321271.3747474471,6.436967024593611,3
6.113585086634203,4.38591427792111,737711.1196021843,6.664285269696972,3
7.7693272393780894,8.616526492835451,23352.225987543916,7.686673320912908,3
5.5905310507266,20.726674788600462,53537.214647173176,5.402293977216978,3
1.0200560909559144,42.17895981778136,269282.6896527843,7.307667469741249,3
5.089898639347265,25.185210323267135,10290.500827815082,7.798209761449602,3
5.19529263798707,30.527401295554792,362391.9528853938,5.514420931823494,3
5.247465674078978,76.00759481942704,215865.46616981164,7.56095765100372,3
5.614509316140487,74.38439680557693,487325.3388370218,6.182101314565516,3
5.814201160565524,31.095106852289433,240050.13865994895,5.150194224531607,3
7.748709600888128,44.60733550956541,204326.43485807715,5.188016955513544,3
1.5352708028281596,40.694780055871945,215471.27978366485,7.769622770539215,3
4.1719203839759,69.59038674694727,8460.168199470812,5.396876608328764,3
6.934204298791517,19.332020481680782,573921.9465972305,5.783341961935634,3
5.845153649604568,47.134104336792895,505007.27626772085,5.116270922452308,3
2.616013580389229,54.01913757067925,259928.93839765762,6.369970517753471,3
4.711450460095513,34.716512061476045,249047.80225606912,5.121314613727896,3
6.794936684216767,59.51970072488018,657532.9088334847,5.257556475947597,3
3.024446894691804,70.50515039130855,525157.7581100389,5.64376226274854,3
4.6875307856595905,22.999329737718085,762879.7701026889,5.805173030779737,3
5.979314623165129,30.220513552166214,260694.63066389557,5.918406230193259,3
8.422493461575323,38.891658129395466,141757.7896324896,7.513571928778587,3
3.3410448185914117,53.34825683138697,398133.16359639843,5.714920903667763,3
5.525153661567675,45.13173234788085,581815.1526053138,6.1368400581108045,3
1.4071931469189594,43.135718407526255,800282.7040060039,6.7676525470002655,3
3.2787242960083325,30.997616899092417,169986.96043190136,6.208226806439207,3
2.951536173495537,7.06408537139069,466516.49733004137,6.331108340452301,3
8.721792525220067,33.433821996305866,178603.6401853797,5.416905331508488,3
1.4256253607565812,28.678876322068817,164323.16480342497,7.716167425726596,3
7.713121707547976,15.667026560622997,190048.04124276125,5.994355639732668,3
4.888996714669286,14.180718484232893,235680.61898763964,6.622416985382401,3
1.634818045135074,43.81491022196924,70394.7724518134,6.041738707682863,3
8.85987289009016,4.254628358874038,359277.84384370415,5.684638243083772,3
3.027130821911327,5.895056646624225,575321.6842934535,6.057341327410337,3
5.835225278078735,16.889171731684566,202296.03957073222,5.37576077209001,3
3.675532827334557,3.1847286451904777,838493.1564846876,7.694228294873788,3
1.3972878500487211,31.364163248525387,696515.9797821697,6.551555690056002,3
8.842032407119486,60.41075780280614,184303.98398973086,5.798686047694268,3
4.022144019449291,51.78324812621033,723343.220818751,6.919320852849216,3
1.3213252376990678,17.166457313771804,25996.33590986409,5.688732262931641,3
8.345601499739686,25.45996627080835,832012.3150336957,7.071848568799387,3
4.103833239502405,30.91268876992111,106267.75232867395,7.4757037267149995,3
2.7714943191292116,37.52570953325099,654058.8579805123,6.0701048464708744,3
1.8447971439156947,31.26602903810848,600499.9091060129,7.6369738548086765,3
5.9766969684291125,57.2146393538479,229348.63238131473,6.080097653620807,3
5.023873509224243,75.61907490075859,496921.1261060108,6.808983520834188,3
2.96922588300872,61.82822061856836,630933.5894004337,7.845543267178246,3
1.3840732417130726,30.567351058756472,665737.1154992682,7.695171385056506,3
1.1436514275671856,34.95579810718704,480132.24279399216,6.435703650151275,3
6.802559779599133,28.992317737219825,178539.6941877139,7.116492176984005,3
5.050284561260338,37.10509969070271,157728.64362750907,6.012236477647114,3
2.2425433762212696,36.481210683161805,13070.053307498696,6.475087644797975,3
6.604516300355555,19.92019690557684,673456.3587001866,7.671489224069439,3
8.441587539427768,10.76002092807973,168387.66432882304,6.267156094261228,3
6.298771589973266,26.7500969386241,181776.1190529879,5.883846685539382,3
4.880367010256174,50.164305184243,556381.191589244,6.074321578258537,3
5.7621166356744045,35.506705242095435,663296.0462743895,5.507698125798426,3
1.6435778679993995,5.05172697531191,804296.1046451788,6.968036406289329,3
8.666645407810703,73.956473346089,554426.4322660229,5.440497702040284,3
8.004175411470328,65.94328263573206,145036.41473726288,6.509126136623891,3
8.827937584102358,18.04282912541119,828400.856039602,6.318194295919279,3
6.32483066353846,10.400614651989098,748791.7579784669,7.735066619652407,3
7.143676574710682,61.992480014849846,786335.2384056825,7.652147553188691,3
2.256371761320029,45.99323736541418,514301.9978501114,5.425853638160358,3
5.918317754517109,40.24197209616951,309004.0292029567,5.47147042264279,3
1.1362255632176912,31.8497043120747,72200.39604902892,5.165680506088174,3
4.5040632228786155,69.02913243604777,164368.09609598567,7.186262584246048,3
4.544084393797208,39.6077543787111,504140.1721445519,7.313651992705145,3
2.9388212897008943,59.92644030439909,603160.6305125474,6.575147191540665,3
3.2892679480678337,41.13851825293101,444097.8756650278,6.308367508700511,3
1.7377800461219173,48.19149876557763,547567.4379798628,7.2042032408915295,3
4.3340207518354426,7.539162699396753,246549.55260859526,7.004329304843458,3
3.9277723275577903,42.60860485028928,589635.8425551718,7.823478350173172,3
7.51759950630672,10.18930684241201,400356.74283078586,6.545094723981466,3
3.098427346203394,29.152582803047377,616067.4071396257,5.6679673297546245,3
4.50678737158635,26.017221326899953,766638.6828136723,5.243738590769838,3
2.3359680702577093,6.9013915159600545,590818.602368737,6.697261792833837,3
2.598599481468333,58.099322854288545,93545.55003758588,5.625200481339116,3
4.883377530709907,67.95176102458277,517594.68721665506,5.2642080867365735,3
8.04616977956999,61.412224794715954,277190.9313368369,6.573442722488452,3
4.756097200123664,69.10121057106468,43668.42571641286,7.7898307312611985,3
6.182910076703378,68.95149476546021,158106.5344183411,6.757832661727677,3
4.689045505437292,23.019799768741166,708988.6987840848,7.647846455098858,3
1.5920350552862674,52.42937417934984,515504.7172651237,6.491124559538387,3
3.275804886196369,16.303496971388565,166176.3820674009,7.509804188966827,3
3.3842645994167166,40.04014367707842,370548.00834083004,6.394986919115441,3
3.659476540357864,75.76616862894619,510014.0916305809,7.161266632665105,3
1.0382189111693378,70.7035091927359,549308.6383147406,7.638904770601537,3
3.1818697019473845,31.506500059359578,763961.9164065392,6.570145969207366,3
3.3413657910101313,53.37734945404706,724389.1145078692,6.92525777834549,3
8.748550404977061,15.755395677129036,44829.67661474551,7.622219969558522,3
8.217923875761352,59.24033766888446,109644.95495671208,7.641335758124862,3
5.706475441195683,12.168703307331304,632069.5613199938,5.451420888581087,3
2.037140515364434,50.09292868816465,66652.16758498256,7.312447820819298,3
2.732992285031541,40.1827080185865,757205.1602499518,7.248278596706475,3
2.8250027847149757,71.29193210950302,417751.23207418126,5.223225208350269,3
3.944016877779795,49.470194169230545,316274.4449968962,5.377916207906223,3
3.166525031266021,12.318990553047565,750850.1283931084,5.832550075321102,3
5.766518510412604,35.31246058416703,61992.98120084771,7.764286930239297,3
5.732179200327865,32.54856135434433,257277.71110747269,6.217856884856783,3
4.004134582987554,9.69082807045495,616562.5656333447,6.987060744806466,3
3.5064738027780695,27.608474577094306,776308.5296548741,6.462670956871247,3
7.704324312896698,13.864455097532904,461166.6142755009,6.959057212656086,3
7.345700996089738,76.37032881562081,515329.9137823033,5.68365099632176,3
7.94744683613807,53.51728211020792,589570.2498790129,7.38028856127697,3
6.342651577218879,27.230209435574352,310628.27742262307,6.950598656531968,3
6.206646023790318,57.08598913625878,311582.25483602745,6.492170927035341,3
7.58401698984847,56.93674580798082,88501.51679576538,6.1911429685244315,3
1.5522806383047505,37.28492393259279,744032.464121091,6.04456987360434,3
3.906351072626312,14.347537023126199,819209.3816618319,7.46641462074653,3
1.966045858053237,73.64347498736821,573280.5986381487,6.804145605393856,3
1.312091003182167,20.757304733998026,536242.5020575898,7.381775653629039,3
4.986460786605935,63.63683731831049,333610.00951220584,6.449828428767552,3
8.235038703660534,70.9746265863896,66207.9295840837,7.252774506635028,3
5.435568389576439,29.807219393761006,682817.1322090196,7.448885726442885,3
4.416314797980844,71.2775056472317,300582.72416289704,5.767559534513014,3
2.056238867688412,42.266889652479264,722063.9150402804,5.615636072182547,3
1.3606873071966756,40.63083157345412,576963.6966890203,5.415665953464131,3
1.1832943163786989,60.68746981603824,838391.8544179011,6.919905968704685,3
3.1628852866024673,32.822430247690654,497689.5298559574,6.615404250101114,3
6.269940091286209,21.48484778545777,12729.249466010528,6.720444800364623,3
6.308956324166981,70.54944782312072,175490.92371000824,7.825987465804121,3
5.216236836449815,23.851003363499768,730390.6930393921,6.516140602641731,3
7.4620133741453785,35.27297180930989,359068.3814261997,6.23488351015052,3
4.263838193022587,30.66948823446397,64404.981558320505,6.5495929417619765,3
5.592658046681542,10.941139946613335,601460.1834005218,7.421351614257407,3
6.710775118014286,17.309777267016162,4684.534270947743,7.106172161648965,3
7.85145481484868,55.834405648400676,688111.0017132463,7.129208246809883,3
5.308242707551245,59.441220393010326,799844.5925044823,5.938404283844267,3
7.116746494807345,58.81377551460663,606226.9006610751,5.610603357462968,3
6.813762213246227,36.921429992058094,587920.7160481681,6.526586768872583,3
6.545455226612856,5.331840803895175,44015.23867294617,6.937321757565841,3
6.148630369782544,57.22837498198687,534957.6707641677,7.328394636866269,3
5.758229123823759,65.61331329626977,279462.9171284487,5.499382001984789,3
2.8458245682440912,20.718849820565644,614988.9241063287,7.6953212134730915,3
2.963993843928902,63.16371696532094,226896.08878470422,7.217426178903764,3
3.8099209996519607,44.76541980271225,533331.4480387106,5.307138016000751,3
1.1851010486941684,49.50813940763731,636183.3156809101,5.677464481188421,3
5.0648483277425305,9.741587962124855,595719.2300887922,5.3957262411627225,3
8.464392875197834,47.55922555249377,365921.47560422576,7.197714476029659,3
3.983569257914247,57.74151069686972,227288.9929463926,6.471410321210452,3
4.402251226783787,20.95742680051816,342920.87992352934,7.375740382407217,3
1.7083400169281198,60.086826782236045,633075.0696502005,6.373798855905018,3
6.162074758199044,49.39241179739569,300689.2621805544,7.600549841834482,3
2.348897687542797,19.10888834590877,221807.75085401392,5.473393084376187,3
2.612050477459637,6.1222411098464296,170931.29588304248,5.781869985974223,3
4.716462987347149,67.72303585145754,741986.1879118056,6.33108867668166,3
3.1038835464969137,4.162354904388521,300430.3919294894,6.87190588573457,3
7.796139606283183,76.4665026402264,381623.81755276234,6.5876039086595295,3
8.504526733367356,49.34901953555476,757681.8459993872,7.801097536254025,3
2.1296785087369785,68.1427508119126,768278.6111986581,5.437002260056355,3
3.431661005135877,69.26546053496143,17222.368755824817,6.886159380748022,3
4.272813936602374,20.339673870491946,595168.797520748,5.7713135692817366,3
3.405091652747813,50.14169355127814,626701.987394375,5.420931635191469,3
6.227930896248029,9.082739568648211,44900.74527203407,5.75703176512053,3
8.738296965997279,18.932423913499786,789968.2952321109,6.829673462745969,3
1.2659457532293494,45.12519440352535,783135.9548605001,7.235240495250992,3
2.269497617741942,17.677396873260662,512439.55300393386,7.204415755129131,3
4.325062315810033,76.25007144827784,587191.2058001716,5.676021534058598,3
7.389808370736933,45.734944277741,523602.6590410324,5.984182313608229,3
7.967771385180752,7.866107260093873,573483.1473831774,7.672235018889664,3
8.747337977069733,59.13360957786466,357830.6414836539,6.910730142748278,3
5.941105453898813,54.479925247360725,443372.1461781021,5.088826121853327,3
2.295744615642951,58.749479591607916,817871.9414865876,5.946227145355031,3
2.504895007674521,47.1738062786591,229996.97104019223,6.452547263218451,3
3.3231453377480973,10.14072762616507,793267.2158204985,5.380304398238037,3
6.678931889382954,32.73729636342184,699087.6273805102,5.641496460108589,3
8.795285926122176,28.41341817062941,380181.5093867295,7.775811856865349,3
4.440371691731697,18.577333515096036,152617.21326981834,5.634141587887776,3
4.255069823517632,46.08501426896685,451684.3910187681,5.992990732329415,3
2.6851425503846578,46.76126480319376,403426.44906175864,6.86854386405844,3
3.5047547813917883,51.3664392129156,106656.213417193,7.742631029669136,3
4.562329940790831,35.71668456883798,495228.1384344854,5.669364689171697,3
1.017976639072199,3.5351920801194594,633784.1877042027,7.439294816986012,3
8.566335141152802,13.490391827740401,14539.722109347278,7.653409458503013,3
6.047230222364745,29.745498435765334,581069.2192099267,6.384535625095026,3
7.422478034245722,9.485885146461303,725850.286081232,5.675277195116735,3
1.5427315200586276,64.82386083236442,163996.8149301437,6.672770577171395,3
6.407998476316331,63.277653520210364,647811.7509237948,7.226018189264323,3
4.958249495659112,16.439485562608567,719352.3665572789,5.497872603129147,3
6.674668703125408,12.789546554448174,585546.1496333281,5.348523976957172,3
4.545552756571526,38.00870950735983,416943.0554734685,7.479936135745259,3
1.2816770918403888,52.18739788783755,249169.5947432489,7.348679684046879,3
3.2604129112762337,52.69522260502301,285969.24471614946,7.151126288229323,3
